"function","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.029535,1,111.72,79,79,0
0.029664,1,111.9,79.125,79.125,0
0.029793,1,112.08,79.25,79.25,0
0.029922,1,112.25,79.375,79.375,0
0.03005,1,112.43,79.5,79.5,0
0.030178,1,112.61,79.625,79.625,0
0.030304,1,112.78,79.75,79.75,0
0.030431,1,112.96,79.875,79.875,0
0.030556,1,113.14,80,80,0
0.030596,1,113.31,80.125,80.125,0
0.030635,1,113.49,80.25,80.25,0
0.030674,1,113.67,80.375,80.375,0
0.030713,1,113.84,80.5,80.5,0
0.030751,1,114.02,80.625,80.625,0
0.030789,1,114.2,80.75,80.75,0
0.030826,1,114.37,80.875,80.875,0
0.030863,1,114.55,81,81,0
0.030812,1,114.73,81.125,81.125,0
0.03076,1,114.9,81.25,81.25,0
0.030709,1,115.08,81.375,81.375,0
0.030657,1,115.26,81.5,81.5,0
